,project_id,boro,managing_agcy,orig_bud_amt,city_plan_total,noncity_plan_total,starting_delta,ending_delta,total_cost,cost_delta,costStatus,startStatus,endStatus,city_pct,noncity_pct,majority_funder,budget_usage
5276,P-306ASEQ,MANHATTAN,DEPT OF PARKS AND RECREATION,250,1547.0,0.0,56,56,1547.0,1297.0,Over Budget,Late,Late,1.0,0.0,city,5.188
5277,P-306ASGP,MANHATTAN,DEPT OF PARKS AND RECREATION,3940,4175.0,0.0,0,0,4175.0,235.0,Over Budget,On Time,On Time,1.0,0.0,city,0.05964467005076142
5278,P-306ASLV,MANHATTAN,DEPT OF PARKS AND RECREATION,300,5056.0,0.0,0,85,5056.0,4756.0,Over Budget,On Time,Late,1.0,0.0,city,15.853333333333333
5279,P-306DAGP,MANHATTAN,DEPT OF PARKS AND RECREATION,250,3096.0,0.0,-12,-11,3096.0,2846.0,Over Budget,Early,Early,1.0,0.0,city,11.384
5280,P-306GLIC,MANHATTAN,DEPT OF PARKS AND RECREATION,17276,17276.0,0.0,0,0,17276.0,0.0,On Target,On Time,On Time,1.0,0.0,city,1.0
5281,P-306PETD,MANHATTAN,DEPT OF PARKS AND RECREATION,560,746.0,0.0,0,0,746.0,186.0,Over Budget,On Time,On Time,1.0,0.0,city,0.33214285714285713
5282,P-306SSHR,MANHATTAN,DEPT OF PARKS AND RECREATION,3900,3000.0,0.0,0,0,3000.0,-900.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.23076923076923078
5283,P-306STV1,MANHATTAN,DEPT OF PARKS AND RECREATION,450,450.0,0.0,0,0,450.0,0.0,On Target,On Time,On Time,1.0,0.0,city,1.0
5284,P-306STVA,MANHATTAN,DEPT OF PARKS AND RECREATION,5613,5325.0,0.0,0,13,5325.0,-288.0,Under Budget,On Time,Late,1.0,0.0,city,-0.05130946018172101
5285,P-306TRPL,MANHATTAN,DEPT OF PARKS AND RECREATION,60,60.0,0.0,0,4,60.0,0.0,On Target,On Time,Late,1.0,0.0,city,1.0
5286,P-306TRYG,MANHATTAN,DEPT OF PARKS AND RECREATION,250,2068.0,0.0,0,21,2068.0,1818.0,Over Budget,On Time,Late,1.0,0.0,city,7.272
5287,P-306TUDO,MANHATTAN,DEPT OF PARKS AND RECREATION,500,1680.0,0.0,0,2,1680.0,1180.0,Over Budget,On Time,Late,1.0,0.0,city,2.36
5288,P-307BLOC,MANHATTAN,DEPT OF PARKS AND RECREATION,1776,1721.06,0.0,-47,-47,1721.06,-54.940000000000055,Under Budget,Early,Early,1.0,0.0,city,-0.030934684684684716
